"ID of call","call","URL for call","col1"
997430,"call to memset","file:///tmp/GitClone/source/sha2.c:499:2:499:7","Call to memset may be deleted by the compiler."
997717,"call to memset","file:///tmp/GitClone/source/sha2.c:408:4:408:9","Call to memset may be deleted by the compiler."
997736,"call to memset","file:///tmp/GitClone/source/sha2.c:409:4:409:9","Call to memset may be deleted by the compiler."
997879,"call to memset","file:///tmp/GitClone/source/sha2.c:426:2:426:7","Call to memset may be deleted by the compiler."
997898,"call to memset","file:///tmp/GitClone/source/sha2.c:427:2:427:7","Call to memset may be deleted by the compiler."
999319,"call to memset","file:///tmp/GitClone/source/sha2.c:357:2:357:7","Call to memset may be deleted by the compiler."
999338,"call to memset","file:///tmp/GitClone/source/sha2.c:358:2:358:7","Call to memset may be deleted by the compiler."
999357,"call to memset","file:///tmp/GitClone/source/sha2.c:359:2:359:7","Call to memset may be deleted by the compiler."
999376,"call to memset","file:///tmp/GitClone/source/sha2.c:360:2:360:7","Call to memset may be deleted by the compiler."
999395,"call to memset","file:///tmp/GitClone/source/sha2.c:361:2:361:7","Call to memset may be deleted by the compiler."
999414,"call to memset","file:///tmp/GitClone/source/sha2.c:362:2:362:7","Call to memset may be deleted by the compiler."
999433,"call to memset","file:///tmp/GitClone/source/sha2.c:363:2:363:7","Call to memset may be deleted by the compiler."
999452,"call to memset","file:///tmp/GitClone/source/sha2.c:364:2:364:7","Call to memset may be deleted by the compiler."
999471,"call to memset","file:///tmp/GitClone/source/sha2.c:365:2:365:7","Call to memset may be deleted by the compiler."
999490,"call to memset","file:///tmp/GitClone/source/sha2.c:366:2:366:7","Call to memset may be deleted by the compiler."
