"ID of error","error","URL for error","msg"
41739,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:161:21:161:28","Potential buffer-overflow: 'str' has size 100 but 'str[100]' may be accessed here."
41767,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:162:21:162:28","Potential buffer-overflow: 'sql' has size 100 but 'sql[100]' may be accessed here."
42230,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:194:25:194:32","Potential buffer-overflow: 'str' has size 100 but 'str[100]' may be accessed here."
42258,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:195:25:195:32","Potential buffer-overflow: 'sql' has size 100 but 'sql[100]' may be accessed here."
42707,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:225:21:225:28","Potential buffer-overflow: 'str' has size 100 but 'str[100]' may be accessed here."
42735,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:226:21:226:28","Potential buffer-overflow: 'sql' has size 100 but 'sql[100]' may be accessed here."
43458,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:273:21:273:28","Potential buffer-overflow: 'str' has size 100 but 'str[100]' may be accessed here."
43486,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:274:21:274:28","Potential buffer-overflow: 'sql' has size 100 but 'sql[100]' may be accessed here."
44553,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:338:25:338:32","Potential buffer-overflow: 'str' has size 100 but 'str[100]' may be accessed here."
44581,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:339:25:339:32","Potential buffer-overflow: 'sql' has size 100 but 'sql[100]' may be accessed here."
45028,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:370:29:370:36","Potential buffer-overflow: 'str' has size 100 but 'str[100]' may be accessed here."
45056,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:371:29:371:36","Potential buffer-overflow: 'sql' has size 100 but 'sql[100]' may be accessed here."
47043,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:504:21:504:28","Potential buffer-overflow: 'str' has size 100 but 'str[100]' may be accessed here."
47071,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:505:21:505:28","Potential buffer-overflow: 'sql' has size 100 but 'sql[100]' may be accessed here."
47527,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:538:25:538:32","Potential buffer-overflow: 'str' has size 100 but 'str[100]' may be accessed here."
47555,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:539:25:539:32","Potential buffer-overflow: 'sql' has size 100 but 'sql[100]' may be accessed here."
48015,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:575:21:575:28","Potential buffer-overflow: 'str' has size 100 but 'str[100]' may be accessed here."
48043,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:576:21:576:28","Potential buffer-overflow: 'sql' has size 100 but 'sql[100]' may be accessed here."
48442,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:598:31:598:38","Potential buffer-overflow: 'str' has size 100 but 'str[100]' may be accessed here."
48470,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:599:31:599:38","Potential buffer-overflow: 'sql' has size 100 but 'sql[100]' may be accessed here."
48871,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:635:21:635:28","Potential buffer-overflow: 'str' has size 100 but 'str[100]' may be accessed here."
48899,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:636:21:636:28","Potential buffer-overflow: 'sql' has size 100 but 'sql[100]' may be accessed here."
49270,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:658:29:658:36","Potential buffer-overflow: 'str' has size 100 but 'str[100]' may be accessed here."
49298,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:659:29:659:36","Potential buffer-overflow: 'sql' has size 100 but 'sql[100]' may be accessed here."
49815,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:696:24:696:31","Potential buffer-overflow: 'sql' has size 100 but 'sql[100]' may be accessed here."
49843,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:697:24:697:31","Potential buffer-overflow: 'str' has size 100 but 'str[100]' may be accessed here."
50185,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:724:21:724:28","Potential buffer-overflow: 'str' has size 100 but 'str[100]' may be accessed here."
50213,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:725:21:725:28","Potential buffer-overflow: 'sql' has size 100 but 'sql[100]' may be accessed here."
50801,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:756:29:756:36","Potential buffer-overflow: 'str' has size 100 but 'str[100]' may be accessed here."
50829,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:757:29:757:36","Potential buffer-overflow: 'sql' has size 100 but 'sql[100]' may be accessed here."
51075,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:770:33:770:40","Potential buffer-overflow: 'str' has size 100 but 'str[100]' may be accessed here."
51103,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:771:33:771:40","Potential buffer-overflow: 'sql' has size 100 but 'sql[100]' may be accessed here."
51619,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:811:21:811:28","Potential buffer-overflow: 'str' has size 100 but 'str[100]' may be accessed here."
51647,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:811:34:811:41","Potential buffer-overflow: 'sql' has size 100 but 'sql[100]' may be accessed here."
52239,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:852:21:852:28","Potential buffer-overflow: 'str' has size 100 but 'str[100]' may be accessed here."
52267,"access to array","file:///tmp/GitClone/retele/servTcpConc.c:853:21:853:28","Potential buffer-overflow: 'sql' has size 100 but 'sql[100]' may be accessed here."
