"ID of sink","sink","URL for sink","ID of source","source","URL for source","ID of sink","sink","URL for sink","col3","ID of regexp","regexp","URL for regexp","col5","ID of col6","col6","URL for col6","col7"
1538,"resNameWithoutServer","file:///tmp/GitClone/src/org/opencms/ade/galleries/CmsGalleryService.java:2079:23:2079:42",1,"getParameter(...) : String","file:///tmp/GitClone/src/org/opencms/ade/galleries/CmsGalleryActionElement.java:198:32:198:110",1538,"resNameWithoutServer","file:///tmp/GitClone/src/org/opencms/ade/galleries/CmsGalleryService.java:2079:23:2079:42","This $@ that depends on $@ may run slow on strings starting with '#' and with many repetitions of '#'.",1330,".*","file:///tmp/GitClone/src/org/opencms/ade/galleries/CmsGalleryService.java:2079:59:2079:60","regular expression",44939,"getParameter(...)","file:///tmp/GitClone/src/org/opencms/ade/galleries/CmsGalleryActionElement.java:198:32:198:110","a user-provided value"
1539,"configStr","file:///tmp/GitClone/src/org/opencms/ade/galleries/shared/CmsGalleryTabConfiguration.java:126:27:126:35",0,"getParameter(...) : String","file:///tmp/GitClone/src/org/opencms/ade/galleries/CmsGalleryActionElement.java:222:23:222:96",1539,"configStr","file:///tmp/GitClone/src/org/opencms/ade/galleries/shared/CmsGalleryTabConfiguration.java:126:27:126:35","This $@ that depends on $@ may run slow on strings with many repetitions of ' '.",1337," *","file:///tmp/GitClone/src/org/opencms/ade/galleries/shared/CmsGalleryTabConfiguration.java:126:44:126:45","regular expression",44916,"getParameter(...)","file:///tmp/GitClone/src/org/opencms/ade/galleries/CmsGalleryActionElement.java:222:23:222:96","a user-provided value"
1546,"text","file:///tmp/GitClone/src/org/opencms/util/CmsStringUtil.java:1660:43:1660:46",4,"getParameter(...) : String","file:///tmp/GitClone/src/org/opencms/util/CmsMacroResolver.java:847:34:847:82",1546,"text","file:///tmp/GitClone/src/org/opencms/util/CmsStringUtil.java:1660:43:1660:46","This $@ that depends on $@ may run slow on strings starting with 'm<%@page' and with many repetitions of 'm<%@page'.",1372,".*?","file:///tmp/GitClone/src/org/opencms/loader/CmsJspLoader.java:565:75:565:77","regular expression",617359,"getParameter(...)","file:///tmp/GitClone/src/org/opencms/util/CmsMacroResolver.java:847:34:847:82","a user-provided value"
1546,"text","file:///tmp/GitClone/src/org/opencms/util/CmsStringUtil.java:1660:43:1660:46",6,"getParameter(...) : String","file:///tmp/GitClone/src/org/opencms/workplace/CmsWorkplace.java:1814:23:1814:57",1546,"text","file:///tmp/GitClone/src/org/opencms/util/CmsStringUtil.java:1660:43:1660:46","This $@ that depends on $@ may run slow on strings starting with 'm<%@page' and with many repetitions of 'm<%@page'.",1372,".*?","file:///tmp/GitClone/src/org/opencms/loader/CmsJspLoader.java:565:75:565:77","regular expression",662717,"getParameter(...)","file:///tmp/GitClone/src/org/opencms/workplace/CmsWorkplace.java:1814:23:1814:57","a user-provided value"
1546,"text","file:///tmp/GitClone/src/org/opencms/util/CmsStringUtil.java:1660:43:1660:46",7,"getParameter(...) : String","file:///tmp/GitClone/src/org/opencms/workplace/editors/CmsPreEditorActionDefinitionXmlContent.java:69:30:69:96",1546,"text","file:///tmp/GitClone/src/org/opencms/util/CmsStringUtil.java:1660:43:1660:46","This $@ that depends on $@ may run slow on strings starting with 'm<%@page' and with many repetitions of 'm<%@page'.",1372,".*?","file:///tmp/GitClone/src/org/opencms/loader/CmsJspLoader.java:565:75:565:77","regular expression",676007,"getParameter(...)","file:///tmp/GitClone/src/org/opencms/workplace/editors/CmsPreEditorActionDefinitionXmlContent.java:69:30:69:96","a user-provided value"
1546,"text","file:///tmp/GitClone/src/org/opencms/util/CmsStringUtil.java:1660:43:1660:46",9,"getParameter(...) : String","file:///tmp/GitClone/src-modules/org/opencms/workplace/commons/CmsResourceInfoDialog.java:144:31:144:99",1546,"text","file:///tmp/GitClone/src/org/opencms/util/CmsStringUtil.java:1660:43:1660:46","This $@ that depends on $@ may run slow on strings starting with 'm<%@page' and with many repetitions of 'm<%@page'.",1372,".*?","file:///tmp/GitClone/src/org/opencms/loader/CmsJspLoader.java:565:75:565:77","regular expression",934784,"getParameter(...)","file:///tmp/GitClone/src-modules/org/opencms/workplace/commons/CmsResourceInfoDialog.java:144:31:144:99","a user-provided value"
1546,"text","file:///tmp/GitClone/src/org/opencms/util/CmsStringUtil.java:1660:43:1660:46",10,"getParameter(...) : String","file:///tmp/GitClone/src-modules/org/opencms/workplace/explorer/CmsTree.java:594:27:594:62",1546,"text","file:///tmp/GitClone/src/org/opencms/util/CmsStringUtil.java:1660:43:1660:46","This $@ that depends on $@ may run slow on strings starting with 'm<%@page' and with many repetitions of 'm<%@page'.",1372,".*?","file:///tmp/GitClone/src/org/opencms/loader/CmsJspLoader.java:565:75:565:77","regular expression",944820,"getParameter(...)","file:///tmp/GitClone/src-modules/org/opencms/workplace/explorer/CmsTree.java:594:27:594:62","a user-provided value"
1547,"value","file:///tmp/GitClone/src/org/opencms/widgets/CmsLocalizationWidget.java:237:67:237:71",8,"getParameterMap(...) : Map","file:///tmp/GitClone/src/org/opencms/workplace/editors/CmsXmlContentEditor.java:1222:21:1222:59",1547,"value","file:///tmp/GitClone/src/org/opencms/widgets/CmsLocalizationWidget.java:237:67:237:71","This $@ that depends on $@ may run slow on strings starting with '{}' and with many repetitions of '{}'.",1447,".*","file:///tmp/GitClone/src/org/opencms/widgets/CmsLocalizationWidget.java:83:89:83:90","regular expression",679427,"getParameterMap(...)","file:///tmp/GitClone/src/org/opencms/workplace/editors/CmsXmlContentEditor.java:1222:21:1222:59","a user-provided value"
1548,"value","file:///tmp/GitClone/src/org/opencms/widgets/CmsLocalizationWidget.java:244:63:244:67",8,"getParameterMap(...) : Map","file:///tmp/GitClone/src/org/opencms/workplace/editors/CmsXmlContentEditor.java:1222:21:1222:59",1548,"value","file:///tmp/GitClone/src/org/opencms/widgets/CmsLocalizationWidget.java:244:63:244:67","This $@ that depends on $@ may run slow on strings starting with '{}' and with many repetitions of '{}'.",1447,".*","file:///tmp/GitClone/src/org/opencms/widgets/CmsLocalizationWidget.java:83:89:83:90","regular expression",679427,"getParameterMap(...)","file:///tmp/GitClone/src/org/opencms/workplace/editors/CmsXmlContentEditor.java:1222:21:1222:59","a user-provided value"
